batch,episode_len,kl,lr_multiplier,loss,entropy,explained_var_old,explained_var_new
1978,28,0.01307,0.444,2.0763,1.4649,0.158,0.202
1979,43,0.01363,0.444,2.0963,1.5626,0.217,0.246
1980,49,0.01226,0.444,2.081,1.5727,0.252,0.279
1981,15,0.01126,0.444,2.0861,1.5646,0.254,0.28
1982,14,0.01164,0.444,2.0036,1.5251,0.268,0.294
1983,12,0.0107,0.444,2.0856,1.5656,0.211,0.238
1984,23,0.01878,0.444,2.0603,1.4971,0.205,0.25
1985,15,0.01487,0.444,2.1115,1.5615,0.236,0.269
1986,29,0.01182,0.444,2.1462,1.5878,0.226,0.253
1987,21,0.01635,0.444,2.1722,1.5462,0.156,0.192
1988,16,0.01001,0.444,2.1637,1.5351,0.212,0.245
