batch,episode_len,kl,lr_multiplier,loss,entropy,explained_var_old,explained_var_new
1020,39,0.0223,0.444,2.233,1.6317,0.238,0.266
1021,49,0.02034,0.444,2.1515,1.6181,0.308,0.339
1022,14,0.02333,0.444,2.1685,1.5924,0.213,0.243
1023,35,0.01861,0.444,2.1755,1.6737,0.322,0.345
1024,22,0.01819,0.444,2.1358,1.5815,0.284,0.31
1025,17,0.01589,0.444,2.1872,1.6349,0.245,0.27
1026,19,0.01447,0.444,2.1796,1.6243,0.257,0.287
1027,14,0.0179,0.444,2.0751,1.5933,0.347,0.365
1028,10,0.0191,0.444,2.2602,1.6569,0.221,0.248
1029,17,0.02413,0.444,2.1613,1.6089,0.252,0.278
1030,13,0.01752,0.444,2.1961,1.642,0.282,0.306
1031,12,0.0245,0.444,2.2365,1.6023,0.251,0.281
1032,16,0.02023,0.444,2.1457,1.5882,0.291,0.312
1033,19,0.01604,0.444,2.2198,1.5385,0.232,0.259
1034,33,0.02073,0.444,2.2057,1.6801,0.27,0.292
1035,11,0.01163,0.444,2.1301,1.606,0.306,0.331
1036,18,0.01471,0.444,2.1859,1.5808,0.248,0.273
1037,25,0.01679,0.444,2.2088,1.6597,0.296,0.321
1038,15,0.01771,0.444,2.1027,1.6119,0.338,0.355
1039,20,0.01917,0.444,2.1862,1.6211,0.313,0.342
1040,10,0.02844,0.444,2.1927,1.5866,0.247,0.279
1041,11,0.03249,0.444,2.1648,1.587,0.256,0.284
1042,15,0.02642,0.444,2.1351,1.578,0.296,0.331
1043,14,0.0195,0.444,2.1258,1.5141,0.266,0.281
1044,21,0.01909,0.444,2.1166,1.5948,0.303,0.335
1045,41,0.0163,0.444,2.167,1.5892,0.254,0.288
1046,11,0.01264,0.444,2.1777,1.5892,0.297,0.321
1047,15,0.02432,0.444,2.1229,1.5447,0.291,0.321
1048,25,0.03301,0.444,2.1623,1.5765,0.296,0.327
1049,12,0.02212,0.444,2.1916,1.6173,0.308,0.335
1050,49,0.01498,0.444,2.0951,1.5307,0.275,0.307
1051,31,0.01582,0.444,2.2273,1.5831,0.19,0.232
1052,18,0.0172,0.444,2.1281,1.5481,0.281,0.299
1053,31,0.01544,0.444,2.1678,1.5593,0.299,0.334
1054,19,0.01601,0.444,2.2032,1.6024,0.269,0.311
1055,9,0.01412,0.444,2.2014,1.5841,0.247,0.282
1056,49,0.01281,0.444,2.117,1.5106,0.274,0.302
1057,10,0.01611,0.444,2.0246,1.4992,0.308,0.337
1058,19,0.01434,0.444,2.1412,1.5496,0.289,0.317
1059,26,0.01468,0.444,2.1005,1.4782,0.285,0.316
1060,11,0.01572,0.444,2.1698,1.6177,0.317,0.341
1061,13,0.01854,0.444,2.1506,1.5777,0.265,0.3
1062,29,0.01091,0.444,2.1203,1.5467,0.277,0.307
1063,15,0.01708,0.444,2.1355,1.5863,0.293,0.335
1064,12,0.02147,0.444,2.1031,1.5187,0.328,0.363
1065,44,0.01727,0.444,2.135,1.5457,0.266,0.293
1066,20,0.02029,0.444,2.1249,1.5733,0.282,0.317
1067,37,0.0229,0.444,2.1499,1.5802,0.284,0.319
1068,18,0.01303,0.444,2.1616,1.5614,0.291,0.317
1069,12,0.0186,0.444,2.1986,1.6291,0.333,0.361
1070,13,0.01698,0.444,2.1136,1.5104,0.239,0.274
1071,25,0.01583,0.444,2.1505,1.5682,0.29,0.328
1072,42,0.01528,0.444,2.0832,1.5366,0.315,0.348
1073,17,0.0216,0.444,2.17,1.5686,0.256,0.289
1074,26,0.01409,0.444,2.1724,1.5689,0.273,0.314
1075,13,0.02057,0.444,2.1983,1.5868,0.221,0.254
1076,25,0.01707,0.444,2.1521,1.5272,0.268,0.298
1077,22,0.02596,0.444,2.3087,1.5758,0.182,0.221
1078,21,0.02519,0.444,2.2386,1.5502,0.177,0.217
1079,21,0.01902,0.444,2.2352,1.5837,0.225,0.264
1080,9,0.01547,0.444,2.1775,1.577,0.291,0.337
1081,34,0.01217,0.444,2.247,1.531,0.176,0.214
1082,11,0.0094,0.667,2.1767,1.5749,0.281,0.319
1083,49,0.02126,0.667,2.2813,1.6399,0.168,0.236
1084,49,0.02043,0.667,2.1195,1.5538,0.273,0.32
1085,26,0.03819,0.667,2.2403,1.6271,0.176,0.23
1086,20,0.03542,0.667,2.1082,1.534,0.266,0.311
1087,15,0.04824,0.444,2.2126,1.6314,0.191,0.265
1088,28,0.02011,0.444,2.1533,1.5923,0.21,0.242
1089,30,0.01516,0.444,2.258,1.6355,0.168,0.202
1090,19,0.01664,0.444,2.2648,1.6428,0.145,0.202
1091,19,0.0214,0.444,2.2151,1.6066,0.225,0.261
1092,9,0.01386,0.444,2.1811,1.5638,0.259,0.298
1093,15,0.01585,0.444,2.2297,1.6475,0.282,0.327
1094,29,0.01241,0.444,2.1812,1.632,0.268,0.3
1095,10,0.01723,0.444,2.2081,1.6169,0.26,0.296
1096,23,0.0165,0.444,2.2502,1.5959,0.17,0.206
1097,12,0.01811,0.444,2.1629,1.6112,0.28,0.308
1098,10,0.01665,0.444,2.239,1.6721,0.24,0.274
1099,49,0.01413,0.444,2.2259,1.6873,0.248,0.282
1100,17,0.02126,0.444,2.2162,1.6118,0.27,0.302
1101,11,0.02933,0.444,2.2602,1.6898,0.269,0.307
1102,49,0.02069,0.444,2.2301,1.6601,0.272,0.313
1103,22,0.01467,0.444,2.2985,1.6378,0.198,0.229
1104,22,0.01278,0.444,2.2436,1.5809,0.183,0.223
