batch,episode_len,kl,lr_multiplier,loss,entropy,explained_var_old,explained_var_new
295,7,0.02127,0.296,2.2306,1.7199,0.389,0.472
296,9,0.02099,0.296,2.2401,1.7415,0.392,0.457
297,10,0.01559,0.296,2.3072,1.7569,0.391,0.435
298,8,0.01513,0.296,2.2682,1.6975,0.406,0.486
299,7,0.02473,0.296,2.3243,1.7655,0.378,0.453
300,7,0.0166,0.296,2.202,1.7687,0.448,0.527
301,12,0.01101,0.296,2.2285,1.724,0.435,0.502
302,11,0.01152,0.296,2.2034,1.6632,0.398,0.467
303,9,0.01525,0.296,2.2356,1.8063,0.403,0.489
304,14,0.0176,0.296,2.2696,1.6779,0.386,0.459
305,9,0.01252,0.296,2.2504,1.7562,0.425,0.49
306,16,0.00904,0.444,2.3115,1.728,0.38,0.446
307,13,0.0391,0.444,2.2467,1.6684,0.33,0.437
308,11,0.03672,0.444,2.3334,1.7562,0.342,0.457
309,9,0.02261,0.444,2.225,1.7666,0.41,0.498
310,7,0.03095,0.444,2.2422,1.6778,0.311,0.44
311,11,0.01987,0.444,2.2187,1.714,0.414,0.483
312,8,0.0385,0.444,2.2522,1.7155,0.359,0.463
313,11,0.03799,0.444,2.2048,1.7002,0.39,0.494
314,7,0.04241,0.296,2.1732,1.6889,0.413,0.491
315,16,0.02607,0.296,2.2394,1.7197,0.381,0.46
316,10,0.02075,0.296,2.1621,1.675,0.434,0.487
317,9,0.01988,0.296,2.1923,1.6649,0.467,0.528
318,10,0.01115,0.296,2.202,1.6962,0.415,0.47
319,7,0.01293,0.296,2.1619,1.6691,0.411,0.479
320,12,0.021,0.296,2.1416,1.6719,0.46,0.519
321,9,0.0204,0.296,2.3001,1.7725,0.386,0.446
322,7,0.01628,0.296,2.291,1.6941,0.392,0.472
323,7,0.02347,0.296,2.2636,1.753,0.385,0.452
324,15,0.01531,0.296,2.1652,1.6882,0.475,0.55
325,11,0.02907,0.296,2.225,1.7482,0.414,0.483
326,8,0.02245,0.296,2.2983,1.7421,0.372,0.446
327,13,0.01832,0.296,2.2237,1.7377,0.391,0.462
328,7,0.0152,0.296,2.2251,1.6734,0.373,0.449
329,14,0.02531,0.296,2.244,1.7362,0.408,0.451
330,7,0.02992,0.296,2.1943,1.5934,0.371,0.433
331,7,0.01997,0.296,2.1492,1.701,0.447,0.508
332,14,0.02101,0.296,2.2079,1.6684,0.374,0.451
333,8,0.01339,0.296,2.2682,1.7371,0.388,0.469
334,21,0.02195,0.296,2.335,1.666,0.327,0.396
335,10,0.01526,0.296,2.2321,1.7127,0.361,0.446
336,7,0.01434,0.296,2.3715,1.7114,0.284,0.368
337,7,0.00835,0.444,2.2635,1.7522,0.388,0.476
338,16,0.02875,0.444,2.2536,1.7529,0.392,0.47
